asset_name,tag,source_sc,texture_index,image,x,y,width,height
pasture_cow,CP,buildings_new.sc,2,Decoded/hayday_assets_sctx/buildings_new_2/buildings_new_2.png,0,0,1948,2031
building_mill_01,FM,map.sc,2,Decoded/hayday_assets_sctx/map_2/map_2.png,0,0,1015,1482
bakery_01,BK,buildings_new.sc,0,Decoded/hayday_assets_sctx/buildings_new_0/buildings_new_0.png,799,1851,139,133
dairy_01,DY,buildings_new.sc,2,Decoded/hayday_assets_sctx/buildings_new_2/buildings_new_2.png,56,0,1894,1988
sugarmill_01,SM,buildings_new.sc,0,Decoded/hayday_assets_sctx/buildings_new_0/buildings_new_0.png,1040,2296,427,122
pasture_chicken,CH,buildings_new.sc,6,Decoded/hayday_assets_sctx/buildings_new_6/buildings_new_6.png,0,197,1013,1059
pasture_pig,PG,buildings_new.sc,1,Decoded/hayday_assets_sctx/buildings_new_1/buildings_new_1.png,135,523,1349,2223
pasture_sheep,SH,buildings_new.sc,6,Decoded/hayday_assets_sctx/buildings_new_6/buildings_new_6.png,0,290,1014,517
pasture_goat,GT,buildings_new.sc,6,Decoded/hayday_assets_sctx/buildings_new_6/buildings_new_6.png,0,290,1015,963
